index,x,y,z
0,-14.170018795842,-3.6964263697,0.839346
1,-14.170497022574,-3.665595933875,0.839346
2,-14.170851622132,-3.647268626051,0.839346
3,-14.170753574619,-3.635139814533,0.839346
4,-14.169806260624,-3.612979067303,0.839346
5,-14.169186919758,-3.604527416537,0.839346
6,-14.166924281625,-3.584899852123,0.839346
7,-14.164619723971,-3.573694634499,0.839346
8,-14.159915535858,-3.559125331252,0.839346
9,-14.15138583961,-3.541756869515,0.839346
10,-14.141966309934,-3.527926279683,0.839346
11,-14.127807676281,-3.511820614928,0.839346
12,-14.113024766932,-3.498379843035,0.839346
13,-14.095990590601,-3.486078225903,0.839346
14,-14.076321790719,-3.475016521629,0.839346
15,-14.058290418317,-3.466406184258,0.839346
16,-14.028563166398,-3.454066395542,0.839346
17,-14.015816674157,-3.449904998532,0.839346
18,-13.996610839962,-3.445163516962,0.839346
19,-13.96719580048,-3.440422855796,0.839346
20,-13.920521397728,-3.436848348577,0.839346
22,-13.918895873099,-3.436800257772,0.839346
23,-13.88325304326,-3.436736845685,0.839346
24,-13.872965524147,-3.436822459814,0.839346
25,-13.826547001096,-3.436733767491,0.839346
26,-13.78696166177,-3.436691655062,0.839346
27,-13.746891128647,-3.436772271947,0.839346
28,-13.698610609804,-3.436855622588,0.839346
29,-13.647941142827,-3.436899695736,0.839346
30,-13.626938665065,-3.436908139282,0.839346
31,-13.578675358101,-3.436912843957,0.839346
32,-13.535434207888,-3.436907569365,0.839346
33,-13.478551472758,-3.436901983316,0.839346
34,-13.391245619635,-3.436923276519,0.839346
35,-13.34295142118,-3.4369478307,0.839346
36,-13.299087708159,-3.436974519942,0.839346
38,-13.236456673761,-3.437014889467,0.839346
39,-13.174485230333,-3.43705117775,0.839346
40,-13.124810586351,-3.43707297636,0.839346
41,-13.062307220476,-3.437088042957,0.839346
42,-13.022512240657,-3.437093426946,0.839346
43,-12.992050657896,-3.437097162434,0.839346
44,-12.954953609707,-3.437102989785,0.839346
45,-12.927722455327,-3.437109228061,0.839346
46,-12.879818311748,-3.437126826043,0.839346
47,-12.860979454578,-3.437136819133,0.839346
48,-12.822333679197,-3.437164248909,0.839346
49,-12.791689595575,-3.437193821648,0.839346
50,-12.765302829844,-3.437225750983,0.839346
51,-12.743388129938,-3.43725735026,0.839346
52,-12.722083369388,-3.437267648662,0.839346
53,-12.68386385943,-3.437080060613,0.839346
54,-12.63267301972,-3.437310868286,0.839346
55,-12.533603399495,-3.449018532696,0.839346
56,-12.491481400593,-3.465945568519,0.839346
57,-12.453295319058,-3.486607420822,0.839346
58,-12.421103077763,-3.513261413549,0.839346
59,-12.3989181708,-3.541058777134,0.839346
60,-12.384312034474,-3.57367495192,0.839346
61,-12.380752642376,-3.606285786875,0.839346
62,-12.380274263141,-3.618126556085,0.839346
63,-12.379704346671,-3.635594268851,0.839346
64,-12.379601494625,-3.666856181578,0.839346
65,-12.38126287082,-3.69753108157,0.839346
66,-12.387031137204,-3.729767089505,0.839346
67,-12.388278322,-3.733581364396,0.839346
68,-12.400734252315,-3.760631555346,0.839346
69,-12.413225357233,-3.776867411923,0.839346
70,-12.417316165756,-3.779454642551,0.839346
