index,x,y,z,s,tx,ty,tz,yaw
0,-12.41106871,-4.377968538,0.839346,0,0.59351176,-0.804825317,0,-0.935381088
1,-12.396097938,-4.398269494,0.839346,0.025224052,0.47570428,-0.879605274,0,-1.07503179
2,-12.383009698,-4.429851305,0.839346,0.059410494,0.260129138,-0.965573836,0,-1.307640385
3,-12.378745522,-4.462679958,0.839346,0.092514929,0.096371945,-0.995345391,0,-1.474274579
4,-12.37688305,-4.493128342,0.839346,0.123020223,0.033337467,-0.999444152,0,-1.537452682
5,-12.376791734,-4.521253761,0.839346,0.15114579,0.003289994,-0.999994588,0,-1.567506327
6,-12.376680285,-4.55475875,0.839346,0.184650964,-0.063469378,-0.997983786,0,-1.634308395
7,-12.38097793,-4.587076938,0.839346,0.217253649,-0.280592,-0.959827135,0,-1.855207158
8,-12.395372718,-4.61870036,0.839346,0.251999162,-0.552987476,-0.833189565,0,-2.156741906
9,-12.420925375,-4.647265994,0.839346,0.290325833,-0.724687595,-0.689077564,0,-2.381377246
10,-12.451479964,-4.672050582,0.839346,0.329668669,-0.83088375,-0.556446038,0,-2.551490338
11,-12.490091093,-4.693586541,0.839346,0.373879718,-0.906448067,-0.4223173,0,-2.705592389
12,-12.53212433,-4.709623073,0.839346,0.418868198,-0.965445527,-0.260604938,0,-2.877943914
13,-12.58068121,-4.71803974,0.839346,0.468149136,-0.992877711,-0.119137952,0,-3.022171049
14,-12.628449071,-4.721181326,0.839346,0.516020194,-0.999461798,-0.032804193,0,-3.108782575
15,-12.67570158,-4.721158485,0.839346,0.563272707,-0.999999883,0.000483385,0,3.141109269
16,-12.725585842,-4.721134372,0.839346,0.613156976,-0.999999883,0.000483385,0,3.141109269
17,-12.85072623,-4.721073881,0.839346,0.738297379,-0.999999883,0.000483385,0,3.141109269
18,-12.99240637,-4.721005395,0.839346,0.879977535,-0.999999922,0.000395497,0,3.141197156
19,-13.107985523,-4.720972135,0.839346,0.995556692,-0.999999883,0.000483385,0,3.141109269
20,-13.224886535,-4.720893017,0.839346,1.112457731,-0.999999854,0.000540873,0,3.141051781
21,-13.50128332,-4.720759411,0.839346,1.388854549,-0.999999883,0.000483385,0,3.141109269
22,-13.754520393,-4.720637,0.839346,1.642091652,-0.999999883,0.000483385,0,3.141109269
23,-13.870633946,-4.720580873,0.839346,1.758205218,-0.999999883,0.000483385,0,3.141109269
24,-13.913420006,-4.72056019,0.839346,1.800991283,-0.997975909,0.06359312,0,3.077956592
25,-13.966899286,-4.714446643,0.839346,1.854818867,-0.987164496,0.159706788,0,2.981199032
26,-14.008831934,-4.705124128,0.839346,1.897775314,-0.95895523,0.28355752,0,2.854090781
27,-14.054269348,-4.688611821,0.839346,1.946120064,-0.926301765,0.376782483,0,2.75527233
28,-14.092091337,-4.671257535,0.839346,1.987733452,-0.861235783,0.508205595,0,2.608492671
29,-14.125733007,-4.646441915,0.839346,2.029537482,-0.727034747,0.686600668,0,2.384789598
30,-14.15014552,-4.616432039,0.839346,2.068222925,-0.523187212,0.852217778,0,2.121382906
31,-14.163340364,-4.585183426,0.839346,2.102143121,-0.207767842,0.978178166,0,1.780088777
32,-14.170125249,-4.522366785,0.839346,2.165325121,-0.060593849,0.998162505,0,1.631427317
33,-14.170829572,-4.461813691,0.839346,2.225882311,-0.01163071,0.999932361,0,1.582427299
