index,x,y,z,s,tx,ty,tz,yaw
0,-14.298127955,-4.314956886,0.839346,0,-0.952367137,0.304953827,0,2.831702707
1,-14.327559637,-4.30553268,0.839346,0.030903715,-0.968600987,0.248620448,0,2.890336932
2,-14.374467763,-4.295361989,0.839346,0.07890179,-0.991999831,0.126239199,0,3.015015729
3,-14.424123043,-4.293244284,0.839346,0.128602207,-0.999747214,0.022483499,0,3.11910726
4,-14.469610954,-4.293222296,0.839346,0.174090124,-0.999999883,0.000483385,0,3.141109269
5,-14.515930962,-4.293199905,0.839346,0.220410137,-0.999999883,0.000483385,0,3.141109269
6,-14.558645221,-4.293179258,0.839346,0.263124401,-0.998632923,0.052271257,0,3.089297564
7,-14.607199723,-4.288422642,0.839346,0.311911337,-0.987701244,0.156352977,0,2.984595524
8,-14.654108456,-4.27806744,0.839346,0.35994944,-0.964309063,0.264779212,0,2.873617699
9,-14.683266415,-4.26753631,0.839346,0.390950913,-0.93181884,0.362923751,0,2.770188988
10,-14.699465415,-4.260401863,0.839346,0.408651419,-0.899240162,0.437455291,0,2.688825778
11,-14.725909998,-4.246791395,0.839346,0.438392987,-0.886953133,0.461859438,0,2.661502163
12,-14.728667771,-4.245195441,0.839346,0.441579266,-0.831663215,0.555280377,0,2.552892597
13,-14.758148526,-4.22526655,0.839346,0.477164033,-0.806483432,0.591256691,0,2.508976466
14,-14.771821598,-4.213558103,0.839346,0.495165161,-0.691798928,0.72209019,0,2.334773695
15,-14.795261749,-4.186528279,0.839346,0.530942976,-0.625591076,0.780151143,0,2.246685272
16,-14.80122507,-4.176890137,0.839346,0.542276775,-0.440302241,0.897849618,0,2.0267316
17,-14.809877351,-4.156724631,0.839346,0.564220102,-0.310766978,0.950486131,0,1.886796185
18,-14.812389075,-4.142744836,0.839346,0.578423743,-0.136772986,0.990602418,0,1.707999375
19,-14.813329069,-4.131724959,0.839346,0.589483638,-0.04526218,0.998975142,0,1.616073976
20,-14.813221961,-4.124362317,0.839346,0.596847059,0.002598422,0.999996624,0,1.568197902
21,-14.813271116,-4.109421808,0.839346,0.611787649,-0.003289993,0.999994588,0,1.574086326
22,-14.813322142,-4.093912509,0.839346,0.627297032,-0.003289994,0.999994588,0,1.574086326
23,-14.813411945,-4.066616654,0.839346,0.654593035,-0.003289994,0.999994588,0,1.574086326
24,-14.813519495,-4.033926921,0.839346,0.687282945,0.062733464,0.998030316,0,1.508021642
25,-14.80944296,-4.003473837,0.839346,0.718007665,0.339985333,0.940430738,0,1.223895026
26,-14.785639807,-3.956809136,0.839346,0.770392629,0.604378584,0.796697262,0,0.921810681
27,-14.746025609,-3.919876518,0.839346,0.824552604,0.811657858,0.584133137,0,0.623811631
28,-14.693875199,-3.890768072,0.839346,0.884276694,0.87993829,0.475087998,0,0.495064033
29,-14.68722889,-3.888131546,0.839346,0.891426847,0.946715529,0.322070967,0,0.327916204
30,-14.658114029,-3.878602185,0.839346,0.922061531,0.966049019,0.258358845,0,0.261322984
31,-14.609841256,-3.867435102,0.839346,0.971609128,0.990034696,0.14082365,0,0.141293306
32,-14.560677931,-3.864742765,0.839346,1.020846118,0.999607886,0.028001326,0,0.028004986
33,-14.51452502,-3.864765074,0.839346,1.066999035,0.999999883,-0.000483385,0,-0.000483385
34,-14.468587776,-3.86478728,0.839346,1.112936284,0.999999883,-0.000483385,0,-0.000483385
35,-14.422434865,-3.864809589,0.839346,1.159089201,0.999248865,0.038751852,0,0.038761558
36,-14.373706196,-3.861107679,0.839346,1.207958284,0.990399802,0.138232527,0,0.138676586
37,-14.326075754,-3.851360512,0.839346,1.256575835,0.970550703,0.240896936,0,0.243289897
38,-14.296344749,-3.841906069,0.839346,1.287773899,0.952975985,0.303045825,0,0.307887156
