index,x,y,z,s,tx,ty,tz,yaw
0,-14.296344749,-3.841906069,0.839346,0,0.942694722,0.333656503,0,0.340179703
1,-14.276526728,-3.834891697,0.839346,0.021022734,0.952878591,0.303351926,0,0.308208378
2,-14.256755682,-3.829302764,0.839346,0.041568547,0.976332161,0.216276471,0,0.217999056
3,-14.217805543,-3.821883818,0.839346,0.081218946,0.989846601,0.142139745,0,0.142622775
4,-14.184650536,-3.818948627,0.839346,0.114503624,0.998760809,0.049767933,0,0.049788501
5,-14.155571929,-3.818782737,0.839346,0.143582705,0.998725688,-0.050467822,0,-0.050489271
6,-14.113273863,-3.822555449,0.839346,0.186048688,0.990898644,-0.134610096,0,-0.135019966
7,-14.080153057,-3.829028125,0.839346,0.219796034,0.974815402,-0.2230133,0,-0.224904532
8,-14.05889093,-3.834996899,0.839346,0.241880061,0.955206824,-0.295939054,0,-0.300438459
9,-14.042453384,-3.840708115,0.839346,0.259281525,0.944607151,-0.328203184,0,-0.334400762
