index,x,y,z,s,tx,ty,tz,yaw
0,-12.417316166,-3.779454643,0.839346,0,-0.651208081,-0.758899226,0,-2.279971564
1,-12.422004514,-3.784918309,0.839346,0.007199462,-0.560901208,-0.827882742,0,-2.166270295
2,-12.430703162,-3.799213672,0.839346,0.023933377,-0.493873984,-0.869533489,0,-2.087335716
3,-12.437425643,-3.812069341,0.839346,0.038440615,-0.431746846,-0.901994823,0,-2.017224855
4,-12.442745094,-3.824371378,0.839346,0.051843476,-0.376924327,-0.926244056,0,-1.957269785
5,-12.445046327,-3.830796211,0.839346,0.058668002,-0.253869563,-0.967238463,0,-1.827475124
6,-12.450066905,-3.852267347,0.839346,0.080718305,-0.1446131,-0.989488277,0,-1.715918278
7,-12.450712739,-3.869567582,0.839346,0.098030591,0.091587906,-0.995796995,0,-1.47907989
8,-12.446353547,-3.892641138,0.839346,0.121512319,0.267212866,-0.963637528,0,-1.300296766
9,-12.439435101,-3.91023761,0.839346,0.140420008,0.382834376,-0.923816995,0,-1.17793386
10,-12.437086983,-3.91500227,0.839346,0.145731848,0.499666643,-0.866217782,0,-1.047582436
11,-12.424463217,-3.936192738,0.839346,0.17039752,0.541662312,-0.840596181,0,-0.998382935
12,-12.414561598,-3.949959016,0.839346,0.187354893,0.583912357,-0.811816703,0,-0.94725668
