time,dz
0,0
7,4.39817e-05
13,8.16778e-05
18,0.000113088
23,0.000144493
28,0.000175893
32,0.000201008
37,0.000232394
41,0.000257497
46,0.000288866
51,0.000320223
55,0.0003453
60,0.000376634
64,0.000401691
69,0.000432997
73,0.000458029
78,0.000489304
82,0.00051431
87,0.000545549
91,0.000570525
96,0.000601724
100,0.000626666
105,0.000657822
110,0.000688951
114,0.000713836
119,0.000744915
124,0.000775966
128,0.000800784
133,0.000831779
137,0.000856551
142,0.000887485
146,0.000912207
151,0.000943078
156,0.000973911
160,0.00099855
165,0.00102931
169,0.00105389
174,0.00108458
178,0.0011091
183,0.00113972
188,0.00117028
192,0.0011947
196,0.00121909
201,0.00124953
205,0.00127385
209,0.00129814
214,0.00132845
218,0.00135267
222,0.00137684
226,0.00140099
231,0.00143112
235,0.00145518
239,0.00147921
244,0.00150919
248,0.00153313
253,0.001563
257,0.00158685
262,0.00161661
267,0.00164631
271,0.00167002
276,0.0016996
280,0.00172321
285,0.00175267
289,0.00177619
294,0.00180552
299,0.00183478
303,0.00185814
308,0.00188726
312,0.00191051
318,0.0019453
323,0.0019742
327,0.00199727
332,0.00202603
337,0.00205471
341,0.00207759
346,0.00210613
351,0.00213458
355,0.00215728
360,0.00218558
364,0.00220816
369,0.0022363
373,0.00225875
378,0.00228673
383,0.00231462
387,0.00233687
392,0.0023646
396,0.00238671
401,0.00241427
406,0.00244174
410,0.00246364
415,0.00249093
419,0.00251269
424,0.0025398
429,0.00256681
433,0.00258834
438,0.00261517
443,0.0026419
447,0.0026632
452,0.00268974
456,0.00271089
461,0.00273723
466,0.00276347
470,0.00278438
475,0.00281042
479,0.00283117
484,0.00285701
489,0.00288273
493,0.00290323
498,0.00292875
502,0.00294908
507,0.00297439
511,0.00299456
516,0.00301966
520,0.00303965
525,0.00306454
529,0.00308436
534,0.00310902
539,0.00313356
543,0.00315311
548,0.00317743
552,0.00319679
557,0.00322089
561,0.00324007
566,0.00326393
570,0.00328293
575,0.00330656
579,0.00332537
584,0.00334876
588,0.00336739
593,0.00339054
598,0.00341356
602,0.00343189
607,0.00345466
612,0.00347731
616,0.00349532
621,0.00351772
625,0.00353553
630,0.00355768
634,0.00357529
639,0.00359718
643,0.00361459
648,0.00363623
653,0.00365772
657,0.00367481
662,0.00369604
666,0.00371292
671,0.00373389
675,0.00375056
680,0.00377126
684,0.00378771
689,0.00380814
693,0.00382438
698,0.00384454
702,0.00386056
707,0.00388045
711,0.00389625
716,0.00391586
720,0.00393144
724,0.00394692
729,0.00396613
733,0.00398138
737,0.00399654
741,0.00401159
746,0.00403026
750,0.00404508
754,0.00405981
758,0.00407443
763,0.00409255
767,0.00410694
771,0.00412122
776,0.00413893
780,0.00415298
784,0.00416692
789,0.0041842
793,0.00419791
797,0.00421151
802,0.00422836
806,0.00424172
811,0.00425827
815,0.00427139
820,0.00428763
824,0.00430051
829,0.00431645
833,0.00432908
838,0.00434471
842,0.0043571
847,0.00437242
851,0.00438456
856,0.00439957
860,0.00441146
865,0.00442616
869,0.00443779
874,0.00445218
878,0.00446356
883,0.00447763
887,0.00448875
892,0.00450251
896,0.00451338
901,0.00452681
905,0.00453742
910,0.00455053
914,0.00456089
919,0.00457367
923,0.00458377
927,0.00459375
931,0.00460361
936,0.00461578
940,0.00462539
944,0.00463487
948,0.00464424
953,0.00465579
957,0.00466489
961,0.00467388
966,0.00468495
970,0.00469367
974,0.00470227
979,0.00471286
983,0.00472119
