Time,Fz,Mz
0.10695,-0.694884,-2.43944
0.107083,-0.797767,-2.54747
0.107132,-0.797767,-2.52175
0.107158,-0.818344,-2.56805
0.107182,-0.921227,-2.67608
0.107205,-0.957236,-2.71724
0.107228,-0.787479,-2.48059
0.107251,-0.736037,-2.52689
0.107273,-0.77719,-2.52175
0.107295,-0.751469,-2.51146
0.116607,-0.941804,-2.71724
0.126449,-0.93666,-2.7481
0.136581,-0.787479,-2.65036
0.146634,-0.869785,-2.62464
0.156602,-0.8132,-2.5166
0.166513,-0.684595,-2.43429
0.176583,-0.859497,-2.50632
0.186692,-0.797767,-2.56805
0.196608,-0.977813,-2.64521
0.206508,-0.93666,-2.60406
0.216487,-0.741181,-2.50117
0.226557,-0.802911,-2.54747
0.236663,-0.746325,-2.55776
0.246553,-0.921227,-2.69666
0.25661,-0.957236,-2.72238
0.266541,-0.869785,-2.56805
0.276546,-0.823488,-2.58348
0.286685,-0.756614,-2.57834
0.296548,-0.849209,-2.72238
0.306628,-0.952092,-2.71724
0.316578,-0.823488,-2.61949
0.326632,-0.869785,-2.64521
0.336678,-0.700028,-2.46002
0.34639,-0.700028,-2.48574
0.356639,-0.797767,-2.52175
0.366429,-0.802911,-2.58863
0.376442,-0.71546,-2.57319
0.386574,-0.787479,-2.60406
0.396559,-0.977813,-2.66065
0.406606,-0.926371,-2.64521
0.416641,-0.864641,-2.59892
0.426602,-0.8132,-2.55776
0.436679,-0.633154,-2.37771
0.446604,-0.674307,-2.57319
0.456692,-0.761758,-2.53718
0.466645,-0.741181,-2.54233
0.476557,-0.741181,-2.51146
0.48655,-0.705172,-2.58863
0.496631,-0.972669,-2.69666
0.5066,-0.993245,-2.66579
0.516602,-0.864641,-2.57319
0.526535,-0.83892,-2.59892
0.536645,-0.586856,-2.44973
0.546577,-0.679451,-2.49603
0.556656,-0.782335,-2.54233
0.56661,-0.849209,-2.59892
0.576628,-0.766902,-2.46516
0.586662,-0.751469,-2.55262
0.596511,-0.946948,-2.7018
0.606634,-0.849209,-2.73267
0.616597,-0.8132,-2.48059
0.626637,-0.828632,-2.48059
0.636548,-0.8132,-2.68637
0.646547,-0.895506,-2.56805
0.656608,-0.87493,-2.66579
0.666509,-0.905795,-2.71209
0.676569,-0.854353,-2.55776
0.686599,-0.705172,-2.63493
0.696536,-0.828632,-2.70695
0.70663,-0.90065,-2.72238
0.716451,-0.8132,-2.52175
0.726452,-0.823488,-2.50117
0.736513,-0.844065,-2.6092
0.746414,-0.864641,-2.59892
0.756512,-0.967525,-2.66065
0.766434,-0.921227,-2.71209
0.776437,-0.905795,-2.55776
0.786552,-0.93666,-2.56805
0.79651,-0.864641,-2.56805
0.806637,-0.869785,-2.63493
0.816991,-0.916083,-2.5629
0.826962,-0.885218,-2.55776
0.836946,-0.746325,-2.5166
0.846693,-0.808055,-2.48574
0.856786,-0.859497,-2.58348
0.867053,-0.802911,-2.58348
0.877078,-0.859497,-2.61949
0.887539,-0.8132,-2.64521
0.897596,-0.93666,-2.67094
0.907182,-0.885218,-2.7481
0.916955,-0.792623,-2.55776
0.926916,-0.833776,-2.68637
0.936952,-0.828632,-2.62978
0.94689,-0.77719,-2.57319
0.956946,-0.705172,-2.55262
0.967015,-0.772046,-2.61949
0.976998,-0.833776,-2.58348
0.987059,-0.833776,-2.65036
0.996887,-0.710316,-2.55262
1.00693,-0.854353,-2.61949
1.01697,-0.880074,-2.5629
1.02672,-0.854353,-2.59892
1.03669,-0.916083,-2.69666
1.0466,-0.802911,-2.62978
1.05662,-0.982957,-2.62464
1.0665,-0.941804,-2.62978
1.07651,-0.751469,-2.52175
1.08645,-0.720604,-2.44973
1.09648,-0.93666,-2.70695
1.10697,-1.02411,-2.67094
1.11747,-0.90065,-2.58348
1.12707,-0.87493,-2.59892
1.1366,-0.854353,-2.58348
1.14657,-0.880074,-2.62464
1.15706,-0.952092,-2.63493
1.16698,-0.96238,-2.68637
1.17706,-0.797767,-2.50632
1.18686,-0.782335,-2.53204
1.19658,-0.756614,-2.52689
1.20661,-0.689739,-2.54747
1.2166,-0.854353,-2.71209
1.22662,-0.952092,-2.69666
1.23661,-0.833776,-2.59377
1.24659,-0.83892,-2.64007
1.25655,-0.910939,-2.55776
1.26641,-0.792623,-2.49603
1.2942,-0.802911,-2.53718
