Time,Fz,Mz
0.106233,-0.509693,-2.59377
0.106376,-0.545703,-2.72238
0.106416,-0.633154,-2.7018
0.10645,-0.458252,-2.46002
0.106481,-0.350224,-2.58348
0.106512,-0.396522,-2.64521
0.106544,-0.355368,-2.55776
0.106578,-0.303927,-2.55262
0.106614,-0.597144,-2.66579
0.106648,-0.638298,-2.7481
0.115968,-0.334792,-2.52175
0.125956,-0.360513,-2.55262
0.135953,-0.447963,-2.49088
0.145947,-0.53027,-2.65036
0.15602,-0.458252,-2.57834
0.165882,-0.550847,-2.59892
0.175996,-0.525126,-2.75839
0.186018,-0.381089,-2.49088
0.195945,-0.355368,-2.37771
0.205949,-0.525126,-2.56805
0.215893,-0.540559,-2.57319
0.225936,-0.628009,-2.58348
0.236031,-0.453108,-2.62978
0.245935,-0.555991,-2.6555
0.256006,-0.319359,-2.59377
0.265965,-0.710316,-2.75839
0.275865,-0.46854,-2.49603
0.285952,-0.381089,-2.59377
0.295828,-0.237052,-2.28511
0.305946,-0.576568,-2.59892
0.315994,-0.71546,-2.58863
0.325942,-0.422243,-2.53204
0.33601,-0.447963,-2.50117
0.345929,-0.463396,-2.54233
0.356016,-0.489117,-2.56805
0.365898,-0.46854,-2.37771
0.375944,-0.375945,-2.55262
0.385985,-0.53027,-2.71209
0.395929,-0.447963,-2.49088
0.405993,-0.386233,-2.54233
0.415948,-0.381089,-2.68123
0.425966,-0.612577,-2.57319
0.436042,-0.489117,-2.58348
0.44597,-0.478828,-2.61949
0.45603,-0.324503,-2.45487
0.465968,-0.365657,-2.61949
0.475975,-0.509693,-2.51146
0.485958,-0.581712,-2.57834
0.49588,-0.525126,-2.52689
0.505969,-0.391378,-2.42915
0.516022,-0.411954,-2.58863
0.525925,-0.504549,-2.68637
0.536007,-0.411954,-2.54233
0.545856,-0.319359,-2.46002
0.555965,-0.206187,-2.43944
0.56593,-0.705172,-2.5629
0.575951,-0.550847,-2.56805
0.585985,-0.555991,-2.66579
0.59593,-0.401666,-2.54747
0.605986,-0.592,-2.66579
0.615986,-0.437675,-2.52689
0.625954,-0.705172,-2.66579
0.636027,-0.453108,-2.56805
0.645906,-0.278206,-2.5629
0.6559,-0.324503,-2.40857
0.665936,-0.417098,-2.69151
0.675942,-0.669163,-2.52689
0.685886,-0.463396,-2.45487
0.695906,-0.741181,-2.63493
0.705963,-0.262773,-2.46002
0.715984,-0.499405,-2.73781
0.725979,-0.473684,-2.67608
0.73587,-0.586856,-2.74296
0.746095,-0.447963,-2.52689
0.756039,-0.555991,-2.51146
0.765861,-0.694884,-2.58863
0.776007,-0.561135,-2.6092
0.785884,-0.458252,-2.62464
0.795898,-0.262773,-2.5629
0.805921,-0.417098,-2.49603
0.815962,-0.458252,-2.51146
0.826115,-0.540559,-2.6555
0.836279,-0.437675,-2.51146
0.846296,-0.797767,-2.74296
0.856285,-0.509693,-2.59892
0.866141,-0.489117,-2.47545
0.876256,-0.303927,-2.42915
0.903027,-0.628009,-2.7481
