Time,Fz,Mz
0.0045349,-0.0318585,-0.000420669
0.0147826,-0.0678693,-0.175322
0.0247894,0.0092967,-0.108448
0.0347444,-0.0472917,-0.0672949
0.0446919,-0.0781581,-0.195899
0.0546769,-0.165613,-0.231908
0.064699,0.0195855,-0.103304
0.0746024,0.0401631,-0.0878716
0.0847061,-0.165613,-0.278206
0.0947759,-0.160469,-0.247341
0.104742,0.0504519,-0.0930157
0.114806,-0.0318585,-0.0518624
0.12465,0.0144411,-0.041574
0.134774,0.0041523,-0.0570065
0.144712,0.143051,0.0613094
0.154696,-0.0215697,-0.154746
0.164752,0.163629,0.0870302
0.174604,0.15334,0.0047235
0.184743,-0.0472917,-0.154746
0.194709,0.0350187,0.0047235
0.204783,0.0453075,-0.0467182
0.214627,0.0144411,-0.273062
0.22467,0.184206,0.0973186
0.234761,0.0658851,-0.0261415
0.244677,0.0607407,-0.072439
0.254734,0.19964,-0.0261415
0.264779,-0.186191,-0.288494
0.274674,0.0453075,-0.0312857
0.284808,0.0247299,-0.0775832
0.294701,0.0041523,-0.0158532
0.304707,0.209928,0.0458769
0.314788,0.143051,0.0407327
0.324637,-0.0781581,-0.041574
0.334713,0.0144411,-0.0621507
0.344546,-0.124458,-0.206187
0.354784,-0.129602,-0.22162
0.364781,-0.0164253,-0.0930157
0.374619,0.0555963,-0.170178
0.384683,0.0195855,-0.010709
0.394564,-0.0472917,-0.0158532
0.40477,0.0247299,-0.0878716
0.414697,-0.0215697,-0.144457
0.424706,0.0967515,0.0870302
0.434729,0.240795,0.0921744
0.444706,0.132762,0.0150118
0.454738,-0.00613651,-0.0261415
0.464691,-0.134747,-0.242197
0.474777,-0.165613,-0.231908
0.484733,0.168773,-0.000420669
0.49488,0.137907,0.0253002
0.504593,-0.0112809,-0.010709
0.514685,0.0144411,-0.072439
0.524662,-0.0627249,-0.231908
0.534777,-0.0318585,-0.139313
0.544822,0.0607407,-0.0518624
0.554833,0.122474,0.0150118
0.564766,0.225362,0.0304444
0.57494,0.0144411,-0.108448
0.584863,-0.0730137,-0.0570065
0.595037,-0.114169,-0.175322
0.605057,0.0555963,-0.0775832
0.615058,0.0916071,-0.103304
0.625007,0.158484,0.0150118
0.635008,0.245939,0.133328
0.645042,0.112185,-0.0209973
0.6551,-0.0112809,-0.000420669
0.665087,0.168773,0.020156
0.674919,0.0864627,0.00986767
0.685041,-0.124458,-0.201043
0.694916,-0.0575805,-0.134169
0.705012,0.15334,0.051021
0.714964,0.0658851,-0.0981599
0.724937,-0.109025,-0.154746
0.735025,0.0710295,-0.0981599
0.745193,0.240795,0.112751
0.754975,0.0041523,-0.113592
0.765065,-0.0267141,-0.103304
0.774976,0.0504519,-0.154746
0.785044,0.0401631,-0.134169
0.795252,0.0967515,-0.0878716
0.805055,0.143051,-0.010709
0.815134,0.137907,-0.072439
0.825178,-0.0164253,-0.149602
0.834951,-0.170757,-0.262773
0.845219,0.0504519,-0.0467182
0.854825,0.209928,-0.0570065
0.864891,0.0144411,-0.113592
0.874781,-0.0215697,-0.262773
0.885002,0.137907,-0.0518624
0.894943,-0.0421473,-0.206187
0.904901,0.10704,0.051021
0.914957,0.0761739,0.0767419
0.925007,0.0658851,-0.103304
0.935024,0.0247299,-0.165034
0.944789,-0.0781581,-0.288494
0.954725,0.10704,-0.134169
0.964695,0.0453075,-0.0981599
0.974567,0.184206,0.0561652
0.984502,0.101896,-0.0827274
0.9945,0.173918,0.0561652
1.00458,0.0195855,-0.0775832
1.01457,-0.000992107,-0.149602
1.0245,0.0195855,-0.113592
1.03462,-0.0421473,-0.0672949
1.04512,0.137907,0.0613094
1.05443,-0.160469,-0.267918
1.06445,0.0555963,-0.129025
1.0745,0.0247299,-0.0930157
1.08455,0.209928,-0.0209973
1.09449,-0.0370029,-0.0261415
1.10448,-0.000992107,-0.165034
1.11458,-0.124458,-0.375945
1.12451,-0.0935913,-0.154746
1.13451,-0.0164253,-0.0930157
1.14453,0.0607407,-0.0827274
1.15456,0.112185,0.020156
1.16457,0.117329,0.0407327
1.17454,-0.0472917,-0.0827274
1.18454,0.117329,0.0407327
1.1945,-0.00613651,-0.0981599
1.20452,0.0247299,-0.0775832
1.21463,-0.0987357,-0.149602
1.22466,0.168773,-0.0312857
1.23459,0.0298743,-0.123881
1.24472,-0.10388,-0.252485
1.25471,0.10704,-0.072439
1.26514,0.0555963,-0.000420669
1.27521,0.0298743,-0.0209973
1.28521,0.0453075,-0.0621507
1.29521,0.15334,-0.0209973
1.3051,0.276806,0.051021
1.31506,-0.0215697,-0.0981599
1.32514,0.0247299,-0.165034
1.33512,0.271661,0.14876
1.34563,0.0658851,-0.0981599
1.3551,0.0453075,-0.144457
1.36514,0.276806,0.0613094
1.37495,0.0607407,-0.129025
1.38492,-0.0472917,-0.185611
1.39507,0.230506,0.0870302
1.40503,0.0144411,-0.123881
1.41504,0.15334,-0.0827274
1.42492,0.0195855,-0.0775832
1.43484,0.0195855,-0.0981599
1.44484,-0.0524361,-0.149602
1.45465,-0.0884469,-0.195899
1.46477,0.0555963,-0.118737
1.47461,-0.0215697,-0.0827274
1.4846,0.0350187,-0.0467182
1.49458,-0.109025,-0.237052
1.50458,-0.00613651,-0.123881
1.51453,0.28195,0.020156
1.52446,0.0864627,-0.0878716
1.53472,0.0967515,0.0047235
1.54461,0.0092967,-0.149602
1.55465,-0.000992107,-0.267918
1.56454,0.240795,-0.0261415
1.5747,0.0504519,-0.180467
1.58484,-0.0781581,-0.103304
1.59484,0.23565,-0.0518624
1.60466,0.0144411,-0.201043
1.61471,0.225362,0.117895
1.62458,0.0195855,-0.165034
1.63459,0.117329,0.00986767
1.6447,0.122474,-0.0467182
1.65455,0.168773,-0.0312857
1.66461,-0.00613651,-0.113592
1.67462,0.0555963,-0.000420669
1.6846,-0.0215697,-0.0981599
1.69471,-0.0678693,-0.350224
1.70474,0.0710295,-0.0672949
1.71471,0.0710295,-0.170178
1.72457,0.122474,-0.103304
1.73456,0.132762,0.0150118
1.7446,0.0710295,-0.00556484
1.75481,-0.0884469,-0.154746
1.76468,0.0555963,-0.0467182
1.77477,0.0350187,0.0150118
1.78457,-0.15018,-0.170178
1.7947,0.0144411,-0.0930157
1.80453,-0.0215697,-0.0518624
1.81459,-0.0833025,-0.339936
1.82459,-0.0781581,-0.000420669
1.83465,0.0350187,-0.190755
1.84476,-0.0884469,-0.180467
1.8558,0.0916071,0.0458769
