Time,Fz,Mz
0.00891762,-0.108448,-0.0370029
0.0188753,-0.0930157,0.0607407
0.0288895,-0.0621507,0.0195855
0.0389672,-0.0467182,0.0864627
0.0488318,0.00986767,0.0555963
0.0590094,-0.123881,0.0144411
0.0687319,-0.185611,-0.0421473
0.0788602,-0.0672949,0.168773
0.0888739,-0.0930157,0.10704
0.0989586,-0.144457,-0.0472917
0.108857,-0.242197,-0.0112809
0.118879,-0.0570065,0.122474
0.128913,-0.0570065,0.117329
0.13898,-0.0672949,0.0864627
0.148878,-0.041574,0.0350187
0.158925,-0.149602,-0.0164253
0.168865,-0.211332,-0.0215697
0.178834,-0.0312857,0.0813183
0.188988,-0.0981599,0.0916071
0.198873,-0.139313,-0.0370029
0.20893,-0.185611,-0.0678693
0.218796,-0.0518624,0.112185
0.228931,-0.041574,0.0453075
0.23894,-0.0364299,0.10704
0.249004,-0.00556484,0.0607407
0.259071,-0.154746,-0.0215697
0.268854,-0.113592,-0.139891
0.279028,-0.0672949,0.148196
0.289069,-0.0930157,0.0195855
0.299052,-0.139313,0.132762
0.308996,-0.22162,-0.0884469
0.319099,-0.206187,0.0350187
0.328993,-0.0570065,-0.000992107
0.339041,-0.0878716,0.10704
0.348899,-0.195899,0.0710295
0.359073,-0.0518624,0.122474
0.368914,-0.0878716,0.0864627
0.379035,-0.113592,-0.0318585
0.388856,-0.0930157,0.0195855
0.398835,-0.072439,0.0864627
0.408984,-0.0312857,-0.0112809
0.418928,-0.0878716,0.168773
0.428793,-0.0930157,0.10704
0.439,-0.165034,-0.000992107
0.448889,-0.0878716,0.0607407
0.459075,-0.170178,-0.0524361
0.469084,-0.175322,-0.10388
0.47885,-0.0467182,0.15334
0.488987,-0.113592,0.0504519
0.498903,-0.0930157,0.0195855
0.508984,-0.154746,-0.0164253
0.518822,-0.0209973,0.112185
0.528957,-0.0312857,0.0350187
0.539,-0.195899,0.0555963
0.548928,-0.226764,0.0092967
0.559054,-0.072439,0.0247299
0.569134,-0.123881,-0.0678693
0.57918,-0.0930157,0.122474
0.589035,-0.139313,0.0092967
0.599062,-0.0364299,0.101896
0.608994,-0.0518624,0.0864627
0.619012,-0.0570065,0.0813183
0.629002,-0.0672949,0.0916071
0.639083,-0.175322,0.0658851
0.649063,-0.0981599,0.10704
0.659082,-0.190755,-0.0267141
0.668995,-0.154746,-0.0215697
0.678933,-0.154746,-0.00613651
0.688937,-0.22162,-0.0267141
0.699139,-0.0467182,0.0967515
0.708932,-0.134169,0.0041523
0.718996,-0.0570065,0.117329
0.728789,-0.0467182,0.0401631
0.739376,-0.149602,0.0401631
0.749541,-0.0981599,0.0144411
0.759384,-0.144457,0.0247299
0.769402,-0.180467,0.0504519
0.779316,-0.0364299,0.0555963
