time,dz
0,0
7,4.39817e-05
12,7.53954e-05
16,0.000100524
21,0.000131932
27,0.000169613
31,0.000194729
35,0.000219841
40,0.000251222
45,0.000282593
49,0.000307682
54,0.000339032
58,0.000364102
63,0.000395427
67,0.000420476
72,0.000451772
76,0.000476796
81,0.00050806
86,0.000539303
90,0.000564282
95,0.000595486
99,0.000620432
104,0.000651593
108,0.000676503
113,0.000707616
117,0.000732487
122,0.000763549
126,0.000788378
131,0.000819385
136,0.00085036
140,0.000875115
145,0.000906029
149,0.000930734
154,0.000961582
158,0.000986234
162,0.00101086
167,0.00104161
171,0.00106618
176,0.00109685
180,0.00112135
185,0.00115195
189,0.00117639
193,0.0012008
197,0.00122518
202,0.00125562
206,0.00127993
210,0.00130421
215,0.00133451
219,0.00135871
223,0.00138288
227,0.00140702
232,0.00143714
236,0.00146119
240,0.00148521
244,0.00150919
249,0.00153911
253,0.001563
257,0.00158685
262,0.00161661
266,0.00164038
270,0.0016641
275,0.00169369
279,0.00171732
284,0.00174679
288,0.00177031
293,0.00179966
297,0.00182308
302,0.0018523
306,0.00187562
311,0.00190471
315,0.00192792
320,0.00195687
324,0.00197997
329,0.00200878
333,0.00203177
338,0.00206043
342,0.00208331
347,0.00211183
351,0.00213458
356,0.00216295
360,0.00218558
365,0.00221379
369,0.0022363
374,0.00226435
378,0.00228673
383,0.00231462
387,0.00233687
392,0.0023646
396,0.00238671
401,0.00241427
405,0.00243625
410,0.00246364
414,0.00248548
418,0.00250725
423,0.00253438
427,0.00255602
431,0.00257758
435,0.00259909
440,0.00262587
444,0.00264723
448,0.00266852
453,0.00269503
457,0.00271617
461,0.00273723
466,0.00276347
470,0.00278438
474,0.00280522
479,0.00283117
483,0.00285185
487,0.00287246
492,0.00289811
496,0.00291856
501,0.00294401
506,0.00296934
510,0.00298952
515,0.00301465
519,0.00303466
524,0.00305957
528,0.00307941
533,0.0031041
537,0.00312376
542,0.00314823
546,0.00316771
551,0.00319196
555,0.00321126
560,0.00323528
564,0.0032544
569,0.00327819
573,0.00329712
578,0.00332068
582,0.00333942
587,0.00336274
591,0.0033813
596,0.00340437
601,0.00342731
605,0.00344557
610,0.00346827
614,0.00348633
619,0.00350878
624,0.00353109
628,0.00354884
633,0.0035709
637,0.00358844
642,0.00361025
647,0.00363191
651,0.00364914
656,0.00367055
660,0.00368757
665,0.00370871
669,0.00372552
674,0.0037464
679,0.00376713
683,0.00378361
688,0.00380407
692,0.00382033
697,0.00384052
701,0.00385657
705,0.00387252
709,0.00388836
714,0.00390804
718,0.00392367
722,0.00393919
727,0.00395846
731,0.00397377
735,0.00398897
739,0.00400408
744,0.00402281
748,0.00403769
752,0.00405246
756,0.00406713
761,0.00408532
765,0.00409976
769,0.0041141
774,0.00413187
778,0.00414597
782,0.00415996
787,0.00417731
791,0.00419107
796,0.00420812
800,0.00422164
805,0.00423839
809,0.00425167
814,0.00426812
818,0.00428116
823,0.0042973
827,0.00431009
832,0.00432593
836,0.00433848
841,0.00435401
846,0.00436937
850,0.00438153
855,0.00439658
859,0.0044085
864,0.00442323
868,0.00443489
873,0.00444931
877,0.00446072
882,0.00447483
887,0.00448875
892,0.00450251
897,0.00451608
901,0.00452681
906,0.00454006
910,0.00455053
915,0.00456346
919,0.00457367
924,0.00458627
928,0.00459623
932,0.00460606
936,0.00461578
941,0.00462777
945,0.00463723
949,0.00464657
954,0.00465808
958,0.00466715
962,0.00467611
966,0.00468495
971,0.00469583
