time,dz
91,0.00475528
2544,-0.00475528
6646,0.00475528
7038,-0.00293893
9728,-0.00293893
10541,0.00475528
13853,-0.00293893
16682,0.00293893
20603,-0.00293893
24900,-1.39147e-14
25175,-1.41597e-14
27682,0.00293893
27991,0.00475528
31092,0.00293893
35488,-0.00293893
39045,-1.99017e-14
42066,0.00475528
42308,-0.00293893
44668,-0.00293893
46629,-0.00475528
52628,-0.00293893
61568,-0.00293893
62179,-0.00475528
64955,-3.9677e-14
68309,-0.00475528
69671,0.00475528
80215,-3.55773e-16
80764,-0.00475528
95244,-0.00475528
102781,0.00475528
103094,-0.00475528
107468,-0.00293893
109713,-0.00293893
112962,0.00293893
118037,0.00293893
126241,0.00475528
131405,1.6878e-14
134633,-0.00293893
137998,-0.00293893
143460,-4.18167e-14
146839,-0.00475528
147446,0.00475528
155199,-0.00475528
163933,-0.00293893
164435,-2.90839e-14
169760,-5.86322e-14
170249,-0.00475528
178981,0.00475528
189004,-0.00475528
190026,0.00475528
204220,-6.94883e-14
205367,0.00293893
213028,-0.00293893
221890,-7.53084e-14
235847,0.00293893
236726,0.00475528
249431,0.00475528
250514,-0.00475528
261431,0.00475528
276348,-0.00293893
277530,-1.38106e-13
286635,-7.1804e-14
296426,0.00475528
311368,-0.00293893
311894,-0.00475528
324078,-0.00293893
333046,0.00475528
344973,-0.00293893
346301,0.00475528
359036,0.00475528
373883,-0.00293893
383686,0.00475528
384379,-0.00475528
398750,-2.78192e-14
407388,-0.00293893
416834,-0.00475528
429464,-0.00475528
435945,-1.41983e-13
437166,0.00475528
450779,-0.00475528
463402,0.00293893
464601,0.00475528
474964,-0.00475528
490349,-0.00475528
501842,0.00293893
514147,0.00293893
525437,0.00293893
532205,6.99138e-14
544043,-0.00293893
545521,0.00475528
558334,-0.00475528
559659,-0.00475528
560750,-4.10264e-13
570194,-0.00475528
583869,-0.00475528
597542,0.00293893
609615,-2.73551e-13
621571,0.00475528
622048,-0.00293893
633539,-0.00475528
646127,0.00293893
654861,0.00475528
666578,-0.00293893
678450,-5.80283e-15
680437,0.00293893
690542,0.00293893
701469,-0.00475528
716940,-1.03274e-14
726298,-0.00293893
738145,-3.18603e-13
751350,-9.05913e-14
753412,0.00293893
766876,0.00475528
773290,-3.68103e-13
786360,7.99615e-14
786844,-0.00475528
799544,-0.00475528
811248,-0.00293893
821664,-0.00475528
834105,5.89238e-14
840293,-0.00293893
851210,-1.20024e-13
861221,0.00475528
873004,-0.00475528
883410,3.40764e-13
884418,-0.00293893
894332,0.00293893
902993,-0.00293893
913142,0.00293893
913625,1.99745e-13
921876,0.00475528
933035,2.51906e-13
944074,-0.00475528
954013,-0.00293893
961775,1.00626e-13
971261,0.00475528
972489,-0.00475528
981656,0.00475528
990946,0.00475528
991456,0.00475528
1003533,-0.00293893
1005105,-6.35806e-13
1014212,0.00293893
1023300,2.32675e-13
1033216,0.00475528
1035625,-4.11644e-13
1040887,0.00293893
1051545,-6.63949e-13
1063411,0.00475528
1075452,0.00293893
1085237,0.00293893
1095401,0.00475528
1102895,1.8657e-13
1113810,2.96733e-14
1118761,0.00475528
1132628,-0.00293893
1138852,0.00293893
1139792,0.00293893
1150079,-0.00475528
1150527,0.00293893
