Time,Fz,Mz
0.00342141,0.735196,-2.51146
0.0121612,0.683754,-2.56805
0.0221197,0.709475,-2.55776
0.0333469,0.719763,-2.57834
0.0421036,0.735196,-2.54233
0.0522001,0.735196,-2.50632
0.0632203,0.611736,-2.61435
0.0721783,0.755772,-2.54747
0.0821095,0.735196,-2.48574
0.0933344,0.627168,-2.63493
0.102109,0.745484,-2.50117
0.112118,0.699186,-2.58348
0.123363,0.694042,-2.53718
0.132136,0.735196,-2.52689
0.142184,0.704331,-2.53718
0.153481,0.622024,-2.61949
0.162143,0.724907,-2.56805
0.172169,0.796926,-2.42401
0.183378,0.627168,-2.61949
0.192114,0.688898,-2.56805
0.202182,0.724907,-2.5166
0.213285,0.699186,-2.59377
0.222154,0.709475,-2.52689
0.232239,0.709475,-2.49603
0.24323,0.688898,-2.64007
0.252174,0.827791,-2.45487
0.26216,0.637456,-2.61435
0.273381,0.730051,-2.52175
0.282214,0.714619,-2.56805
0.292147,0.67861,-2.55776
0.30334,0.755772,-2.51146
0.312125,0.668321,-2.62464
0.322149,0.750628,-2.41372
0.333415,0.580871,-2.57834
0.342091,0.771205,-2.53718
0.352185,0.694042,-2.53718
0.363355,0.699186,-2.55262
0.372256,0.709475,-2.57319
0.382259,0.709475,-2.52689
0.393502,0.652889,-2.64007
0.40226,0.719763,-2.49088
0.412116,0.658033,-2.61949
0.423483,0.699186,-2.50117
0.432217,0.694042,-2.57319
0.4421,0.719763,-2.57834
0.453319,0.750628,-2.52689
0.462131,0.658033,-2.54233
0.472175,0.658033,-2.64007
0.483373,0.750628,-2.46516
0.492119,0.642601,-2.61435
0.50219,0.755772,-2.52175
0.513327,0.714619,-2.58863
0.522153,0.688898,-2.52689
0.532227,0.714619,-2.51146
0.543403,0.658033,-2.60406
0.552184,0.714619,-2.6092
0.562172,0.735196,-2.47031
0.573465,0.647745,-2.62464
0.582242,0.750628,-2.51146
0.592179,0.683754,-2.54233
0.60359,0.67861,-2.55262
0.612204,0.771205,-2.53204
0.622241,0.637456,-2.6555
0.633657,0.766061,-2.50632
0.642162,0.637456,-2.59892
0.652127,0.730051,-2.52689
0.663424,0.699186,-2.56805
0.672241,0.714619,-2.56805
0.682161,0.735196,-2.54747
0.693694,0.694042,-2.5166
0.702287,0.730051,-2.58863
0.712289,0.683754,-2.54747
0.723454,0.724907,-2.52175
0.732223,0.67861,-2.53718
0.742216,0.724907,-2.57319
0.753603,0.735196,-2.5629
0.762249,0.652889,-2.54233
0.772232,0.714619,-2.61435
0.783537,0.668321,-2.55262
0.792199,0.683754,-2.59377
0.802168,0.694042,-2.55262
0.813434,0.694042,-2.54747
0.822135,0.709475,-2.54233
0.832149,0.704331,-2.63493
0.84344,0.704331,-2.50632
0.852331,0.668321,-2.59377
0.86232,0.750628,-2.52175
0.873587,0.709475,-2.54233
0.882201,0.709475,-2.54747
0.892248,0.699186,-2.5166
0.903828,0.80207,-2.47545
0.912182,0.663177,-2.62978
0.922147,0.694042,-2.53204
0.933379,0.694042,-2.5629
0.94224,0.750628,-2.50117
0.952362,0.627168,-2.61949
0.963524,0.67861,-2.53718
0.972292,0.745484,-2.50117
0.982265,0.688898,-2.54747
0.993769,0.735196,-2.58348
1.00238,0.61688,-2.61949
1.01234,0.637456,-2.6092
1.02387,0.730051,-2.49603
1.03236,0.724907,-2.57834
1.04241,0.704331,-2.54747
1.05374,0.658033,-2.59377
1.06237,0.766061,-2.44458
1.07246,0.719763,-2.6092
1.08375,0.688898,-2.54747
1.09218,0.745484,-2.57834
1.10214,0.627168,-2.61435
1.11339,0.750628,-2.45487
1.12209,0.74034,-2.49603
1.13205,0.719763,-2.56805
